
> serp-filetypes@0.0.1 report:db-content /Users/devin/repos/projects/github@serptemplates/filetypes
> node scripts/report-db-content.mjs -- --format csv

slug,fields_total,fields_filled,fields_empty,summary_words,technical_words,how_to_open_words,how_to_convert_words,total_words
xml.kfl,12,6,6,13,126,0,0,139
xmlc,12,7,5,13,76,72,0,161
xmlff,12,6,6,13,46,0,0,59
xmlper,12,7,5,13,120,15,0,148
xmm,12,5,7,13,0,0,0,13
xmmap,12,8,4,13,107,38,58,216
xmmas,12,7,5,13,124,38,0,175
xmmat,12,8,4,13,81,22,55,171
xmp,12,6,6,13,225,0,0,238
xmpz,12,5,7,13,0,0,0,13
xms,12,6,6,13,31,0,0,44
xmt,12,6,6,13,31,0,0,44
xmu,12,6,6,13,40,0,0,53
xmv,12,6,6,13,29,0,0,42
xmwx,12,7,5,13,163,57,0,233
xmz,12,6,6,13,12,0,0,25
xmzx,12,7,5,13,128,48,0,189
xnb,12,7,5,13,82,63,0,158
xnc,12,6,6,13,88,0,0,101
xnk,12,5,7,13,0,0,0,13
xns,12,4,8,6,0,0,0,6
xnt,12,6,6,13,27,0,0,40
xo,12,3,9,6,0,0,0,6
xof,12,6,6,13,20,0,0,33
xoht,12,7,5,13,97,51,0,161
xoj,12,9,3,13,93,39,0,145
xojo_binary_menu,12,6,6,13,110,0,0,123
xojo_binary_project,12,6,6,13,86,0,0,99
xojo_binary_toolbar,12,6,6,13,104,0,0,117
xojo_binary_window,12,6,6,13,105,0,0,118
xojo_menu,12,6,6,13,110,0,0,123
xojo_project,12,6,6,13,89,0,0,102
xojo_toolbar,12,6,6,13,101,0,0,114
xojo_window,12,6,6,13,105,0,0,118
xojo_xml_menu,12,6,6,13,113,0,0,126
xojo_xml_project,12,6,6,13,87,0,0,100
xojo_xml_toolbar,12,6,6,13,98,0,0,111
xojo_xml_window,12,6,6,13,107,0,0,120
xol,12,7,5,13,95,31,0,139
xom,12,6,6,13,10,0,0,23
xoml,12,8,4,13,50,0,0,63
xop,12,4,8,6,0,0,0,6
xopp,12,7,5,13,81,20,0,114
xopus,12,6,6,13,21,0,0,34
xp,12,7,5,13,62,12,0,87
xp2,12,6,6,13,22,0,0,35
xp3,12,5,7,13,0,0,0,13
xp4,12,5,7,13,0,0,0,13
xpaddercontroller,12,6,6,13,18,0,0,31
xpd,12,8,4,13,19,0,0,32
xpdl,12,6,6,13,37,0,0,50
xpf,12,6,6,13,69,0,0,82
xpg,12,6,6,13,16,0,0,29
xpi,12,9,3,13,45,292,0,350
xpj,12,6,6,13,14,0,0,27
xpk,12,5,7,13,0,0,0,13
xpl,12,5,7,13,0,0,0,13
xpll,12,6,6,13,69,0,0,82
xpm,12,8,4,13,28,0,0,41
xpp,12,6,6,13,32,0,0,45
xpr,12,8,4,13,25,0,0,38
xps,12,10,2,13,143,66,59,281
xps-1.png,12,1,11,0,0,0,0,0
xps-2.png,12,1,11,0,0,0,0,0
xpt,12,5,7,13,0,0,0,13
xpw,12,4,8,6,0,0,0,6
xpx,12,4,8,6,0,0,0,6
xq,12,6,6,13,52,0,0,65
xql,12,6,6,13,10,0,0,23
xqm,12,5,7,13,0,0,0,13
xqt,12,7,5,13,28,14,0,55
xquery,12,6,6,13,30,0,0,43
xqy,12,6,6,13,12,0,0,25
xr,12,6,6,13,121,0,0,134
xrb,12,5,7,13,0,0,0,13
xrdml,12,6,6,13,78,0,0,91
xrf,12,6,6,13,12,0,0,25
xrff,12,5,7,13,0,0,0,13
xrm-ms,12,6,6,13,26,0,0,39
xrns,12,6,6,13,45,0,0,58
xrp,12,6,6,13,22,0,0,35
xry,12,6,6,13,48,0,0,61
xs,12,6,6,13,7,0,0,20
xsb,12,6,6,13,180,0,0,193
xsc,12,6,6,13,60,0,0,73
xsd,12,6,6,13,77,0,0,90
xsf,12,6,6,13,31,0,0,44
xsi,12,6,6,13,24,0,0,37
xsiaddon,12,6,6,13,18,0,0,31
xsig,12,7,5,13,77,68,0,158
xsl,12,7,5,13,157,69,0,239
xslfo,12,4,8,4,0,0,0,4
xslic,12,6,6,13,48,0,0,61
xslt,12,9,3,13,112,69,0,194
xsm,12,4,8,6,0,0,0,6
xsn,12,6,6,13,41,0,0,54
xso,12,7,5,13,135,22,0,170
xsosd,12,7,5,13,109,44,0,166
xsp,12,6,6,13,52,0,0,65
xspf,12,6,6,13,44,0,0,57
xsq,12,7,5,13,153,66,0,232
xss,12,6,6,13,19,0,0,32
xst,12,6,6,13,102,0,0,115
xstage,12,7,5,13,125,53,0,191
xsvf,12,6,6,13,19,0,0,32
xsx,12,7,5,13,69,79,0,161
xt,12,5,7,13,0,0,0,13
xtb,12,6,6,13,47,0,0,60
xtbl,12,7,5,13,160,44,0,217
xtg,12,6,6,13,52,0,0,65
xtl,12,5,7,13,0,0,0,13
xtm,12,5,7,13,0,0,0,13
xtodvd,12,6,6,13,55,0,0,68
xtp,12,6,6,13,17,0,0,30
xtreme,12,5,7,13,0,0,0,13
xui,12,6,6,13,18,0,0,31
xul,12,10,2,13,147,52,0,212
xum,12,6,6,13,46,0,0,59
xur,12,5,7,13,0,0,0,13
xv0,12,5,7,13,0,0,0,13
xv3,12,6,6,13,66,0,0,79
xva,12,7,5,13,114,81,0,208
xvct,12,6,6,13,35,0,0,48
xvd,12,6,6,13,173,0,0,186
xvid,12,8,4,13,13,0,0,26
xvm,12,5,7,13,0,0,0,13
xvmconf,12,6,6,13,26,0,0,39
xvml,12,3,9,6,0,0,0,6
xwb,12,6,6,13,32,0,0,45
xwd,12,6,6,13,55,0,0,68
xwf,12,6,6,13,18,0,0,31
xwi,12,7,5,13,115,35,0,163
xwk,12,5,7,13,0,0,0,13
xwm,12,7,5,13,123,38,0,174
xwma,12,7,5,13,122,38,0,173
xwmc,12,7,5,13,58,39,0,110
xwp,12,6,6,13,15,0,0,28
xws,12,6,6,13,17,0,0,30
xx,12,7,5,13,114,38,0,165
xxd,12,6,6,13,20,0,0,33
xxe,12,6,6,13,12,0,0,25
xxx,12,6,6,13,46,0,0,59
xy,12,6,6,13,24,0,0,37
xy3,12,7,5,13,75,69,0,157
xyp,12,7,5,13,83,50,0,146
xys,12,6,6,13,7,0,0,20
xyt,12,7,5,13,120,33,0,166
xyw,12,8,4,13,72,66,33,184
xyz,12,6,6,13,41,0,0,54
xyzv,12,6,6,13,85,0,0,98
xz,12,9,3,13,93,30,0,136
xzfx,12,6,6,13,25,0,0,38
xzm,12,6,6,13,96,0,0,109
y,12,6,6,13,14,0,0,27
y3a,12,6,6,13,16,0,0,29
y3d,12,6,6,13,26,0,0,39
y4m,12,5,7,13,0,0,0,13
yab,12,6,6,13,15,0,0,28
yaf,12,7,5,13,75,58,0,146
yal,12,5,7,13,0,0,0,13
yam,12,6,6,13,10,0,0,23
yaml,12,7,5,13,131,58,0,202
yang,12,7,5,13,99,52,0,164
yanm,12,7,5,13,73,20,0,106
yaodl,12,6,6,13,34,0,0,47
ybd,12,6,6,13,49,0,0,62
ybk,12,6,6,13,47,0,0,60
yc,12,7,5,13,25,19,0,57
ycd,12,7,5,13,172,31,0,216
ychat,12,6,6,13,13,0,0,26
ycm,12,5,7,13,0,0,0,13
ydc,12,6,6,13,24,0,0,37
ydd,12,7,5,13,42,57,0,112
ydk,12,6,6,13,63,0,0,76
ydl,12,6,6,13,29,0,0,42
ydr,12,6,6,13,10,0,0,23
ydt,12,6,6,13,29,0,0,42
yenc,12,6,6,13,48,0,0,61
yfs,12,6,6,13,23,0,0,36
yft,12,8,4,13,144,52,44,253
